date,health_board,presentations
2021-03-04,NHS Highland,43
2021-03-04,NHS Lanarkshire,84
2021-03-04,NHS Lothian,103
2021-03-04,NHS Orkney,9
2021-03-04,NHS Shetland,5
2021-03-04,NHS Tayside,74
2021-03-04,NHS Western Isles,10
2021-03-05,NHS Ayrshire and Arran,55
2021-03-05,NHS Borders,27
2021-03-05,NHS Dumfries and Galloway,47
2021-03-05,NHS Fife,84
2021-03-05,NHS Forth Valley,48
2021-03-05,NHS Grampian,80
2021-03-05,NHS Greater Glasgow and Clyde,139
2021-03-05,NHS Highland,51
2021-03-05,NHS Lanarkshire,97
2021-03-05,NHS Lothian,130
2021-03-05,NHS Orkney,6
2021-03-05,NHS Shetland,13
2021-03-05,NHS Tayside,73
2021-03-05,NHS Western Isles,18
2021-03-06,NHS Ayrshire and Arran,43
2021-03-06,NHS Borders,18
2021-03-06,NHS Dumfries and Galloway,29
2021-03-06,NHS Fife,54
2021-03-06,NHS Forth Valley,31
2021-03-06,NHS Grampian,65
2021-03-06,NHS Greater Glasgow and Clyde,124
2021-03-06,NHS Highland,40
2021-03-06,NHS Lanarkshire,93
2021-03-06,NHS Lothian,103
2021-03-06,NHS Orkney,6
2021-03-06,NHS Shetland,2
2021-03-06,NHS Tayside,54
2021-03-06,NHS Western Isles,14
2021-03-07,NHS Ayrshire and Arran,46
2021-03-07,NHS Borders,13
2021-03-07,NHS Dumfries and Galloway,27
2021-03-07,NHS Fife,45
2021-03-07,NHS Forth Valley,40
2021-03-07,NHS Grampian,68
2021-03-07,NHS Greater Glasgow and Clyde,104
2021-03-07,NHS Highland,37
2021-03-07,NHS Lanarkshire,70
2021-03-07,NHS Lothian,89
2021-03-07,NHS Orkney,10
2021-03-07,NHS Shetland,7
2021-03-07,NHS Tayside,54
2021-03-07,NHS Western Isles,10
2021-03-08,NHS Ayrshire and Arran,93
2021-03-08,NHS Borders,30
2021-03-08,NHS Dumfries and Galloway,39
2021-03-08,NHS Fife,75
2021-03-08,NHS Forth Valley,46
2021-03-08,NHS Grampian,94
2021-03-08,NHS Greater Glasgow and Clyde,170
2021-03-08,NHS Highland,68
2021-03-08,NHS Lanarkshire,119
2021-03-08,NHS Lothian,163
2021-03-08,NHS Orkney,9
2021-03-08,NHS Shetland,15
2021-03-08,NHS Tayside,85
2021-03-08,NHS Western Isles,11
2021-03-09,NHS Ayrshire and Arran,62
2021-03-09,NHS Borders,27
2021-03-09,NHS Dumfries and Galloway,44
2021-03-09,NHS Fife,73
2021-03-09,NHS Forth Valley,57
2021-03-09,NHS Grampian,79
2021-03-09,NHS Greater Glasgow and Clyde,137
2021-03-09,NHS Highland,49
2021-03-09,NHS Lanarkshire,84
2021-03-09,NHS Lothian,144
2021-03-09,NHS Orkney,2
2021-03-09,NHS Shetland,5
2021-03-09,NHS Tayside,83
2021-03-09,NHS Western Isles,12
2021-03-10,NHS Ayrshire and Arran,68
2021-03-10,NHS Borders,9
2021-03-10,NHS Dumfries and Galloway,29
2021-03-10,NHS Fife,60
2021-03-10,NHS Forth Valley,34
2021-03-10,NHS Grampian,63
2021-03-10,NHS Greater Glasgow and Clyde,146
2021-03-10,NHS Highland,59
2021-03-10,NHS Lanarkshire,84
2021-03-10,NHS Lothian,115
2021-03-10,NHS Orkney,5
2021-03-10,NHS Shetland,5
2021-03-10,NHS Tayside,74
2021-03-10,NHS Western Isles,4
2021-03-11,NHS Ayrshire and Arran,49
2021-03-11,NHS Borders,19
2021-03-11,NHS Dumfries and Galloway,38
2021-03-11,NHS Fife,62
2021-03-11,NHS Forth Valley,57
2021-03-11,NHS Grampian,73
2021-03-11,NHS Greater Glasgow and Clyde,144
2021-03-11,NHS Highland,52
2021-03-11,NHS Lanarkshire,96
2021-03-11,NHS Lothian,122
2021-03-11,NHS Orkney,6
2021-03-11,NHS Shetland,16
2021-03-11,NHS Tayside,53
2021-03-11,NHS Western Isles,12
2021-03-12,NHS Ayrshire and Arran,70
2021-03-12,NHS Borders,27
2021-03-12,NHS Dumfries and Galloway,29
2021-03-12,NHS Fife,60
2021-03-12,NHS Forth Valley,48
2021-03-12,NHS Grampian,83
2021-03-12,NHS Greater Glasgow and Clyde,155
2021-03-12,NHS Highland,56
2021-03-12,NHS Lanarkshire,91
2021-03-12,NHS Lothian,138
2021-03-12,NHS Orkney,13
2021-03-12,NHS Shetland,10
2021-03-12,NHS Tayside,98
2021-03-12,NHS Western Isles,21
2021-03-13,NHS Ayrshire and Arran,53
2021-03-13,NHS Borders,18
2021-03-13,NHS Dumfries and Galloway,28
2021-03-13,NHS Fife,51
2021-03-13,NHS Forth Valley,39
2021-03-13,NHS Grampian,75
2021-03-13,NHS Greater Glasgow and Clyde,133
2021-03-13,NHS Highland,51
2021-03-13,NHS Lanarkshire,79
2021-03-13,NHS Lothian,103
2021-03-13,NHS Orkney,8
2021-03-13,NHS Shetland,12
2021-03-13,NHS Tayside,62
2021-03-13,NHS Western Isles,13
2021-03-14,NHS Ayrshire and Arran,58
2021-03-14,NHS Borders,19
2021-03-14,NHS Dumfries and Galloway,33
2021-03-14,NHS Fife,66
2021-03-14,NHS Forth Valley,41
2021-03-14,NHS Grampian,63
2021-03-14,NHS Greater Glasgow and Clyde,106
2021-03-14,NHS Highland,48
2021-03-14,NHS Lanarkshire,67
2021-03-14,NHS Lothian,111
2021-03-14,NHS Orkney,4
2021-03-14,NHS Shetland,7
2021-03-14,NHS Tayside,52
2021-03-14,NHS Western Isles,2
2021-03-15,NHS Ayrshire and Arran,77
2021-03-15,NHS Borders,24
2021-03-15,NHS Dumfries and Galloway,44
2021-03-15,NHS Fife,80
2021-03-15,NHS Forth Valley,61
2021-03-15,NHS Grampian,83
2021-03-15,NHS Greater Glasgow and Clyde,185
2021-03-15,NHS Highland,67
2021-03-15,NHS Lanarkshire,128
2021-03-15,NHS Lothian,150
2021-03-15,NHS Orkney,6
2021-03-15,NHS Shetland,12
2021-03-15,NHS Tayside,82
2021-03-15,NHS Western Isles,18
2021-03-16,NHS Ayrshire and Arran,58
2021-03-16,NHS Borders,22
2021-03-16,NHS Dumfries and Galloway,37
2021-03-16,NHS Fife,55
2021-03-16,NHS Forth Valley,52
2021-03-16,NHS Grampian,86
2021-03-16,NHS Greater Glasgow and Clyde,185
2021-03-16,NHS Highland,63
2021-03-16,NHS Lanarkshire,86
2021-03-16,NHS Lothian,131
2021-03-16,NHS Orkney,11
2021-03-16,NHS Shetland,10
2021-03-16,NHS Tayside,67
2021-03-16,NHS Western Isles,9
2021-03-17,NHS Ayrshire and Arran,55
2021-03-17,NHS Borders,24
2021-03-17,NHS Dumfries and Galloway,43
2021-03-17,NHS Fife,55
2021-03-17,NHS Forth Valley,45
2021-03-17,NHS Grampian,72
2021-03-17,NHS Greater Glasgow and Clyde,144
2021-03-17,NHS Highland,58
2021-03-17,NHS Lanarkshire,99
2021-03-17,NHS Lothian,93
2021-03-17,NHS Orkney,7
2021-03-17,NHS Shetland,13
2021-03-17,NHS Tayside,75
2021-03-17,NHS Western Isles,17
2021-03-18,NHS Ayrshire and Arran,45
2021-03-18,NHS Borders,25
2021-03-18,NHS Dumfries and Galloway,46
2021-03-18,NHS Fife,68
2021-03-18,NHS Forth Valley,51
2021-03-18,NHS Grampian,72
2021-03-18,NHS Greater Glasgow and Clyde,129
2021-03-18,NHS Highland,56
2021-03-18,NHS Lanarkshire,77
2021-03-18,NHS Lothian,124
2021-03-18,NHS Orkney,7
2021-03-18,NHS Shetland,7
2021-03-18,NHS Tayside,65
2021-03-18,NHS Western Isles,14
2021-03-19,NHS Ayrshire and Arran,67
2021-03-19,NHS Borders,28
2021-03-19,NHS Dumfries and Galloway,45
2021-03-19,NHS Fife,54
2021-03-19,NHS Forth Valley,44
2021-03-19,NHS Grampian,75
2021-03-19,NHS Greater Glasgow and Clyde,161
2021-03-19,NHS Highland,42
2021-03-19,NHS Lanarkshire,86
2021-03-19,NHS Lothian,125
2021-03-19,NHS Orkney,11
2021-03-19,NHS Shetland,8
2021-03-19,NHS Tayside,66
2021-03-19,NHS Western Isles,10
2021-03-20,NHS Ayrshire and Arran,56
2021-03-20,NHS Borders,20
2021-03-20,NHS Dumfries and Galloway,34
2021-03-20,NHS Fife,42
2021-03-20,NHS Forth Valley,41
2021-03-20,NHS Grampian,63
2021-03-20,NHS Greater Glasgow and Clyde,136
2021-03-20,NHS Highland,55
2021-03-20,NHS Lanarkshire,87
2021-03-20,NHS Lothian,99
2021-03-20,NHS Orkney,5
2021-03-20,NHS Shetland,9
2021-03-20,NHS Tayside,80
2021-03-20,NHS Western Isles,12
2021-03-21,NHS Ayrshire and Arran,40
2021-03-21,NHS Borders,23
2021-03-21,NHS Dumfries and Galloway,28
2021-03-21,NHS Fife,55
2021-03-21,NHS Forth Valley,43
2021-03-21,NHS Grampian,68
2021-03-21,NHS Greater Glasgow and Clyde,101
2021-03-21,NHS Highland,44
2021-03-21,NHS Lanarkshire,78
2021-03-21,NHS Lothian,106
2021-03-21,NHS Orkney,8
2021-03-21,NHS Shetland,9
2021-03-21,NHS Tayside,50
2021-03-21,NHS Western Isles,8
2021-03-22,NHS Ayrshire and Arran,73
2021-03-22,NHS Borders,41
2021-03-22,NHS Dumfries and Galloway,40
2021-03-22,NHS Fife,67
2021-03-22,NHS Forth Valley,47
2021-03-22,NHS Grampian,89
2021-03-22,NHS Greater Glasgow and Clyde,203
2021-03-22,NHS Highland,81
2021-03-22,NHS Lanarkshire,115
2021-03-22,NHS Lothian,135
2021-03-22,NHS Orkney,6
2021-03-22,NHS Shetland,5
2021-03-22,NHS Tayside,80
2021-03-22,NHS Western Isles,17
2021-03-23,NHS Ayrshire and Arran,68
2021-03-23,NHS Borders,26
2021-03-23,NHS Dumfries and Galloway,35
2021-03-23,NHS Fife,66
2021-03-23,NHS Forth Valley,43
2021-03-23,NHS Grampian,101
2021-03-23,NHS Greater Glasgow and Clyde,155
2021-03-23,NHS Highland,63
2021-03-23,NHS Lanarkshire,97
2021-03-23,NHS Lothian,147
2021-03-23,NHS Orkney,11
2021-03-23,NHS Shetland,7
2021-03-23,NHS Tayside,65
2021-03-23,NHS Western Isles,13
2021-03-24,NHS Ayrshire and Arran,52
2021-03-24,NHS Borders,29
2021-03-24,NHS Dumfries and Galloway,35
2021-03-24,NHS Fife,65
2021-03-24,NHS Forth Valley,57
2021-03-24,NHS Grampian,68
2021-03-24,NHS Greater Glasgow and Clyde,138
2021-03-24,NHS Highland,58
2021-03-24,NHS Lanarkshire,91
2021-03-24,NHS Lothian,105
2021-03-24,NHS Orkney,13
2021-03-24,NHS Shetland,10
2021-03-24,NHS Tayside,63
2021-03-24,NHS Western Isles,8
2021-03-25,NHS Ayrshire and Arran,60
2021-03-25,NHS Borders,12
2021-03-25,NHS Dumfries and Galloway,29
2021-03-25,NHS Fife,55
2021-03-25,NHS Forth Valley,46
2021-03-25,NHS Grampian,82
2021-03-25,NHS Greater Glasgow and Clyde,164
2021-03-25,NHS Highland,57
2021-03-25,NHS Lanarkshire,88
2021-03-25,NHS Lothian,120
2021-03-25,NHS Orkney,9
2021-03-25,NHS Shetland,7
2021-03-25,NHS Tayside,68
2021-03-25,NHS Western Isles,8
2021-03-26,NHS Ayrshire and Arran,66
2021-03-26,NHS Borders,23
2021-03-26,NHS Dumfries and Galloway,41
2021-03-26,NHS Fife,70
2021-03-26,NHS Forth Valley,47
2021-03-26,NHS Grampian,87
2021-03-26,NHS Greater Glasgow and Clyde,137
2021-03-26,NHS Highland,56
2021-03-26,NHS Lanarkshire,94
2021-03-26,NHS Lothian,131
2021-03-26,NHS Orkney,7
2021-03-26,NHS Shetland,6
2021-03-26,NHS Tayside,81
2021-03-26,NHS Western Isles,16
2021-03-27,NHS Ayrshire and Arran,39
2021-03-27,NHS Borders,18
2021-03-27,NHS Dumfries and Galloway,33
2021-03-27,NHS Fife,45
2021-03-27,NHS Forth Valley,35
2021-03-27,NHS Grampian,61
2021-03-27,NHS Greater Glasgow and Clyde,114
2021-03-27,NHS Highland,50
2021-03-27,NHS Lanarkshire,68
2021-03-27,NHS Lothian,105
2021-03-27,NHS Orkney,7
2021-03-27,NHS Shetland,4
2021-03-27,NHS Tayside,65
2021-03-27,NHS Western Isles,12
2021-03-28,NHS Ayrshire and Arran,42
2021-03-28,NHS Borders,20
2021-03-28,NHS Dumfries and Galloway,28
2021-03-28,NHS Fife,49
2021-03-28,NHS Forth Valley,27
2021-03-28,NHS Grampian,62
2021-03-28,NHS Greater Glasgow and Clyde,118
2021-03-28,NHS Highland,42
2021-03-28,NHS Lanarkshire,83
2021-03-28,NHS Lothian,96
2021-03-28,NHS Orkney,3
2021-03-28,NHS Shetland,7
2021-03-28,NHS Tayside,45
2021-03-28,NHS Western Isles,5
2021-03-29,NHS Ayrshire and Arran,91
2021-03-29,NHS Borders,33
2021-03-29,NHS Dumfries and Galloway,54
2021-03-29,NHS Fife,76
2021-03-29,NHS Forth Valley,67
2021-03-29,NHS Grampian,94
2021-03-29,NHS Greater Glasgow and Clyde,175
2021-03-29,NHS Highland,66
2021-03-29,NHS Lanarkshire,99
2021-03-29,NHS Lothian,125
2021-03-29,NHS Orkney,13
2021-03-29,NHS Shetland,9
2021-03-29,NHS Tayside,78
2021-03-29,NHS Western Isles,17
2021-03-30,NHS Ayrshire and Arran,64
2021-03-30,NHS Borders,28
2021-03-30,NHS Dumfries and Galloway,44
2021-03-30,NHS Fife,56
2021-03-30,NHS Forth Valley,48
2021-03-30,NHS Grampian,80
2021-03-30,NHS Greater Glasgow and Clyde,163
2021-03-30,NHS Highland,58
2021-03-30,NHS Lanarkshire,87
2021-03-30,NHS Lothian,117
2021-03-30,NHS Orkney,8
2021-03-30,NHS Shetland,10
2021-03-30,NHS Tayside,82
2021-03-30,NHS Western Isles,17
2021-03-31,NHS Ayrshire and Arran,66
2021-03-31,NHS Borders,21
2021-03-31,NHS Dumfries and Galloway,27
2021-03-31,NHS Fife,53
2021-03-31,NHS Forth Valley,48
2021-03-31,NHS Grampian,64
2021-03-31,NHS Greater Glasgow and Clyde,154
2021-03-31,NHS Highland,56
2021-03-31,NHS Lanarkshire,105
2021-03-31,NHS Lothian,121
2021-03-31,NHS Orkney,14
2021-03-31,NHS Shetland,11
2021-03-31,NHS Tayside,72
2021-03-31,NHS Western Isles,15
2021-04-01,NHS Ayrshire and Arran,64
2021-04-01,NHS Borders,21
2021-04-01,NHS Dumfries and Galloway,38
2021-04-01,NHS Fife,42
2021-04-01,NHS Forth Valley,55
2021-04-01,NHS Grampian,64
2021-04-01,NHS Greater Glasgow and Clyde,120
2021-04-01,NHS Highland,33
2021-04-01,NHS Lanarkshire,78
2021-04-01,NHS Lothian,110
2021-04-01,NHS Orkney,7
2021-04-01,NHS Shetland,6
2021-04-01,NHS Tayside,64
2021-04-01,NHS Western Isles,12
2021-04-02,NHS Ayrshire and Arran,57
2021-04-02,NHS Borders,26
2021-04-02,NHS Dumfries and Galloway,31
2021-04-02,NHS Fife,64
2021-04-02,NHS Forth Valley,45
2021-04-02,NHS Grampian,92
2021-04-02,NHS Greater Glasgow and Clyde,142
2021-04-02,NHS Highland,52
2021-04-02,NHS Lanarkshire,92
2021-04-02,NHS Lothian,119
2021-04-02,NHS Orkney,8
2021-04-02,NHS Shetland,9
2021-04-02,NHS Tayside,70
2021-04-02,NHS Western Isles,12
2021-04-03,NHS Ayrshire and Arran,53
2021-04-03,NHS Borders,31
2021-04-03,NHS Dumfries and Galloway,29
2021-04-03,NHS Fife,46
2021-04-03,NHS Forth Valley,32
2021-04-03,NHS Grampian,59
2021-04-03,NHS Greater Glasgow and Clyde,113
2021-04-03,NHS Highland,47
2021-04-03,NHS Lanarkshire,71
2021-04-03,NHS Lothian,93
2021-04-03,NHS Orkney,5
2021-04-03,NHS Shetland,6
2021-04-03,NHS Tayside,49
2021-04-03,NHS Western Isles,9
2021-04-04,NHS Ayrshire and Arran,48
2021-04-04,NHS Borders,19
2021-04-04,NHS Dumfries and Galloway,20
2021-04-04,NHS Fife,36
2021-04-04,NHS Forth Valley,33
2021-04-04,NHS Grampian,68
2021-04-04,NHS Greater Glasgow and Clyde,120
2021-04-04,NHS Highland,38
2021-04-04,NHS Lanarkshire,70
2021-04-04,NHS Lothian,84
2021-04-04,NHS Orkney,5
2021-04-04,NHS Shetland,4
2021-04-04,NHS Tayside,49
2021-04-04,NHS Western Isles,12
2021-04-05,NHS Ayrshire and Arran,75
2021-04-05,NHS Borders,27
2021-04-05,NHS Dumfries and Galloway,53
2021-04-05,NHS Fife,65
2021-04-05,NHS Forth Valley,44
2021-04-05,NHS Grampian,94
2021-04-05,NHS Greater Glasgow and Clyde,165
2021-04-05,NHS Highland,64
2021-04-05,NHS Lanarkshire,109
2021-04-05,NHS Lothian,145
2021-04-05,NHS Orkney,11
2021-04-05,NHS Shetland,11
2021-04-05,NHS Tayside,87
2021-04-05,NHS Western Isles,14
2021-04-06,NHS Ayrshire and Arran,50
2021-04-06,NHS Borders,19
2021-04-06,NHS Dumfries and Galloway,33
2021-04-06,NHS Fife,66
2021-04-06,NHS Forth Valley,44
2021-04-06,NHS Grampian,81
2021-04-06,NHS Greater Glasgow and Clyde,143
2021-04-06,NHS Highland,45
2021-04-06,NHS Lanarkshire,102
2021-04-06,NHS Lothian,124
2021-04-06,NHS Orkney,11
2021-04-06,NHS Shetland,5
2021-04-06,NHS Tayside,72
2021-04-06,NHS Western Isles,15
2021-04-07,NHS Ayrshire and Arran,58
2021-04-07,NHS Borders,26
2021-04-07,NHS Dumfries and Galloway,33
2021-04-07,NHS Fife,76
2021-04-07,NHS Forth Valley,51
2021-04-07,NHS Grampian,72
2021-04-07,NHS Greater Glasgow and Clyde,123
2021-04-07,NHS Highland,44
2021-04-07,NHS Lanarkshire,84
2021-04-07,NHS Lothian,113
2021-04-07,NHS Orkney,9
2021-04-07,NHS Shetland,11
2021-04-07,NHS Tayside,68
2021-04-07,NHS Western Isles,19
2021-04-08,NHS Ayrshire and Arran,59
2021-04-08,NHS Borders,28
2021-04-08,NHS Dumfries and Galloway,34
2021-04-08,NHS Fife,51
2021-04-08,NHS Forth Valley,46
2021-04-08,NHS Grampian,64
2021-04-08,NHS Greater Glasgow and Clyde,150
2021-04-08,NHS Highland,51
2021-04-08,NHS Lanarkshire,76
2021-04-08,NHS Lothian,124
2021-04-08,NHS Orkney,10
2021-04-08,NHS Shetland,12
2021-04-08,NHS Tayside,66
2021-04-08,NHS Western Isles,6
2021-04-09,NHS Ayrshire and Arran,61
2021-04-09,NHS Borders,26
2021-04-09,NHS Dumfries and Galloway,32
2021-04-09,NHS Fife,60
2021-04-09,NHS Forth Valley,42
2021-04-09,NHS Grampian,81
2021-04-09,NHS Greater Glasgow and Clyde,142
2021-04-09,NHS Highland,49
2021-04-09,NHS Lanarkshire,71
2021-04-09,NHS Lothian,101
2021-04-09,NHS Orkney,11
2021-04-09,NHS Shetland,7
2021-04-09,NHS Tayside,66
2021-04-09,NHS Western Isles,11
2021-04-10,NHS Ayrshire and Arran,52
2021-04-10,NHS Borders,15
2021-04-10,NHS Dumfries and Galloway,38
2021-04-10,NHS Fife,56
2021-04-10,NHS Forth Valley,41
2021-04-10,NHS Grampian,65
2021-04-10,NHS Greater Glasgow and Clyde,112
2021-04-10,NHS Highland,40
2021-04-10,NHS Lanarkshire,74
2021-04-10,NHS Lothian,100
2021-04-10,NHS Orkney,2
2021-04-10,NHS Shetland,4
2021-04-10,NHS Tayside,60
2021-04-10,NHS Western Isles,18
2021-04-11,NHS Ayrshire and Arran,40
2021-04-11,NHS Borders,22
2021-04-11,NHS Dumfries and Galloway,27
2021-04-11,NHS Fife,43
2021-04-11,NHS Forth Valley,33
2021-04-11,NHS Grampian,56
2021-04-11,NHS Greater Glasgow and Clyde,102
2021-04-11,NHS Highland,41
2021-04-11,NHS Lanarkshire,55
2021-04-11,NHS Lothian,85
2021-04-11,NHS Orkney,5
2021-04-11,NHS Shetland,2
2021-04-11,NHS Tayside,65
2021-04-11,NHS Western Isles,8
2021-04-12,NHS Ayrshire and Arran,58
2021-04-12,NHS Borders,35
2021-04-12,NHS Dumfries and Galloway,41
2021-04-12,NHS Fife,66
2021-04-12,NHS Forth Valley,73
2021-04-12,NHS Grampian,93
2021-04-12,NHS Greater Glasgow and Clyde,181
2021-04-12,NHS Highland,67
2021-04-12,NHS Lanarkshire,116
2021-04-12,NHS Lothian,142
2021-04-12,NHS Orkney,10
2021-04-12,NHS Shetland,11
2021-04-12,NHS Tayside,72
2021-04-12,NHS Western Isles,15
2021-04-13,NHS Ayrshire and Arran,56
2021-04-13,NHS Borders,13
2021-04-13,NHS Dumfries and Galloway,32
2021-04-13,NHS Fife,63
2021-04-13,NHS Forth Valley,46
2021-04-13,NHS Grampian,68
2021-04-13,NHS Greater Glasgow and Clyde,158
2021-04-13,NHS Highland,47
2021-04-13,NHS Lanarkshire,77
2021-04-13,NHS Lothian,129
2021-04-13,NHS Orkney,7
2021-04-13,NHS Shetland,5
2021-04-13,NHS Tayside,70
2021-04-13,NHS Western Isles,6
2021-04-14,NHS Ayrshire and Arran,60
2021-04-14,NHS Borders,21
2021-04-14,NHS Dumfries and Galloway,39
2021-04-14,NHS Fife,68
2021-04-14,NHS Forth Valley,44
2021-04-14,NHS Grampian,64
2021-04-14,NHS Greater Glasgow and Clyde,119
2021-04-14,NHS Highland,44
2021-04-14,NHS Lanarkshire,84
2021-04-14,NHS Lothian,94
2021-04-14,NHS Orkney,9
2021-04-14,NHS Shetland,8
2021-04-14,NHS Tayside,57
2021-04-14,NHS Western Isles,11
2021-04-15,NHS Ayrshire and Arran,53
2021-04-15,NHS Borders,13
2021-04-15,NHS Dumfries and Galloway,40
2021-04-15,NHS Fife,45
2021-04-15,NHS Forth Valley,41
2021-04-15,NHS Grampian,76
2021-04-15,NHS Greater Glasgow and Clyde,134
2021-04-15,NHS Highland,47
2021-04-15,NHS Lanarkshire,84
2021-04-15,NHS Lothian,105
2021-04-15,NHS Orkney,6
2021-04-15,NHS Shetland,7
2021-04-15,NHS Tayside,85
2021-04-15,NHS Western Isles,9
2021-04-16,NHS Ayrshire and Arran,69
2021-04-16,NHS Borders,20
2021-04-16,NHS Dumfries and Galloway,35
2021-04-16,NHS Fife,61
2021-04-16,NHS Forth Valley,38
2021-04-16,NHS Grampian,79
2021-04-16,NHS Greater Glasgow and Clyde,161
2021-04-16,NHS Highland,49
2021-04-16,NHS Lanarkshire,101
2021-04-16,NHS Lothian,120
2021-04-16,NHS Orkney,9
2021-04-16,NHS Shetland,13
2021-04-16,NHS Tayside,78
2021-04-16,NHS Western Isles,16
2021-04-17,NHS Ayrshire and Arran,48
2021-04-17,NHS Borders,14
2021-04-17,NHS Dumfries and Galloway,26
2021-04-17,NHS Fife,51
2021-04-17,NHS Forth Valley,47
2021-04-17,NHS Grampian,56
2021-04-17,NHS Greater Glasgow and Clyde,115
2021-04-17,NHS Highland,46
2021-04-17,NHS Lanarkshire,67
2021-04-17,NHS Lothian,108
2021-04-17,NHS Orkney,10
2021-04-17,NHS Shetland,7
2021-04-17,NHS Tayside,62
2021-04-17,NHS Western Isles,8
2021-04-18,NHS Ayrshire and Arran,46
2021-04-18,NHS Borders,26
2021-04-18,NHS Dumfries and Galloway,25
2021-04-18,NHS Fife,44
2021-04-18,NHS Forth Valley,32
2021-04-18,NHS Grampian,60
2021-04-18,NHS Greater Glasgow and Clyde,104
2021-04-18,NHS Highland,38
2021-04-18,NHS Lanarkshire,75
2021-04-18,NHS Lothian,112
2021-04-18,NHS Orkney,5
2021-04-18,NHS Shetland,13
2021-04-18,NHS Tayside,56
2021-04-18,NHS Western Isles,7
2021-04-19,NHS Ayrshire and Arran,82
2021-04-19,NHS Borders,28
2021-04-19,NHS Dumfries and Galloway,38
2021-04-19,NHS Fife,81
2021-04-19,NHS Forth Valley,62
2021-04-19,NHS Grampian,102
2021-04-19,NHS Greater Glasgow and Clyde,177
2021-04-19,NHS Highland,79
2021-04-19,NHS Lanarkshire,102
2021-04-19,NHS Lothian,129
2021-04-19,NHS Orkney,18
2021-04-19,NHS Shetland,4
2021-04-19,NHS Tayside,68
2021-04-19,NHS Western Isles,17
2021-04-20,NHS Ayrshire and Arran,67
2021-04-20,NHS Borders,20
2021-04-20,NHS Dumfries and Galloway,33
2021-04-20,NHS Fife,57
2021-04-20,NHS Forth Valley,49
2021-04-20,NHS Grampian,79
2021-04-20,NHS Greater Glasgow and Clyde,145
2021-04-20,NHS Highland,44
2021-04-20,NHS Lanarkshire,94
2021-04-20,NHS Lothian,128
2021-04-20,NHS Orkney,13
2021-04-20,NHS Shetland,11
2021-04-20,NHS Tayside,71
2021-04-20,NHS Western Isles,12
2021-04-21,NHS Ayrshire and Arran,59
2021-04-21,NHS Borders,29
2021-04-21,NHS Dumfries and Galloway,40
2021-04-21,NHS Fife,48
2021-04-21,NHS Forth Valley,42
2021-04-21,NHS Grampian,84
2021-04-21,NHS Greater Glasgow and Clyde,130
2021-04-21,NHS Highland,50
2021-04-21,NHS Lanarkshire,84
2021-04-21,NHS Lothian,107
2021-04-21,NHS Orkney,3
2021-04-21,NHS Shetland,8
2021-04-21,NHS Tayside,72
2021-04-21,NHS Western Isles,11
2021-04-22,NHS Ayrshire and Arran,51
2021-04-22,NHS Borders,21
2021-04-22,NHS Dumfries and Galloway,27
2021-04-22,NHS Fife,53
2021-04-22,NHS Forth Valley,47
2021-04-22,NHS Grampian,67
2021-04-22,NHS Greater Glasgow and Clyde,127
2021-04-22,NHS Highland,54
2021-04-22,NHS Lanarkshire,82
2021-04-22,NHS Lothian,112
2021-04-22,NHS Orkney,13
2021-04-22,NHS Shetland,4
2021-04-22,NHS Tayside,63
2021-04-22,NHS Western Isles,15
2021-04-23,NHS Ayrshire and Arran,59
2021-04-23,NHS Borders,27
2021-04-23,NHS Dumfries and Galloway,36
2021-04-23,NHS Fife,50
2021-04-23,NHS Forth Valley,53
2021-04-23,NHS Grampian,76
2021-04-23,NHS Greater Glasgow and Clyde,153
2021-04-23,NHS Highland,55
2021-04-23,NHS Lanarkshire,97
2021-04-23,NHS Lothian,132
2021-04-23,NHS Orkney,10
2021-04-23,NHS Shetland,16
2021-04-23,NHS Tayside,74
2021-04-23,NHS Western Isles,11
2021-04-24,NHS Ayrshire and Arran,37
2021-04-24,NHS Borders,16
2021-04-24,NHS Dumfries and Galloway,27
2021-04-24,NHS Fife,64
2021-04-24,NHS Forth Valley,41
2021-04-24,NHS Grampian,74
2021-04-24,NHS Greater Glasgow and Clyde,125
2021-04-24,NHS Highland,46
2021-04-24,NHS Lanarkshire,68
2021-04-24,NHS Lothian,85
2021-04-24,NHS Orkney,4
2021-04-24,NHS Shetland,12
2021-04-24,NHS Tayside,58
2021-04-24,NHS Western Isles,9
2021-04-25,NHS Ayrshire and Arran,48
2021-04-25,NHS Borders,18
2021-04-25,NHS Dumfries and Galloway,26
2021-04-25,NHS Fife,41
2021-04-25,NHS Forth Valley,35
2021-04-25,NHS Grampian,70
2021-04-25,NHS Greater Glasgow and Clyde,95
2021-04-25,NHS Highland,55
2021-04-25,NHS Lanarkshire,60
2021-04-25,NHS Lothian,91
2021-04-25,NHS Orkney,4
2021-04-25,NHS Shetland,6
2021-04-25,NHS Tayside,41
2021-04-25,NHS Western Isles,10
2021-04-26,NHS Ayrshire and Arran,67
2021-04-26,NHS Borders,25
2021-04-26,NHS Dumfries and Galloway,42
2021-04-26,NHS Fife,72
2021-04-26,NHS Forth Valley,48
2021-04-26,NHS Grampian,84
2021-04-26,NHS Greater Glasgow and Clyde,165
2021-04-26,NHS Highland,73
2021-04-26,NHS Lanarkshire,110
2021-04-26,NHS Lothian,156
2021-04-26,NHS Orkney,9
2021-04-26,NHS Shetland,9
2021-04-26,NHS Tayside,74
